timestamp,x(m),y(m),theta(rad)
1746001640.020186,0.999967,0.999885,2.095155
1746001640.070153,1.000007,0.999886,2.095148
1746001640.120268,0.999965,0.999908,2.095156
1746001640.170192,0.999997,0.999869,2.095174
1746001640.220120,0.999978,0.999893,2.095172
1746001640.270259,0.999978,0.999893,2.095172
1746001640.320194,1.000002,0.999862,2.095155
1746001640.370339,0.999955,0.999914,2.095149
1746001640.420324,0.999955,0.999914,2.095149
1746001640.470336,0.999955,0.999921,2.095153
1746001640.520167,0.999959,0.999916,2.095166
1746001640.570206,0.999987,0.999905,2.095165
1746001640.620740,0.999993,0.999875,2.095179
1746001640.670636,0.999993,0.999875,2.095179
1746001640.720176,1.000008,0.999897,2.095200
1746001640.770112,1.000007,0.999901,2.095221
1746001640.820245,0.999979,0.999881,2.095234
1746001640.870758,0.999979,0.999881,2.095234
1746001640.920171,0.999979,0.999881,2.095234
1746001640.970236,1.000015,0.999883,2.095266
1746001641.020281,1.000006,0.999893,2.095281
1746001641.070334,0.999978,0.999897,2.095282
1746001641.120617,0.999978,0.999897,2.095282
1746001641.170267,0.999970,0.999900,2.095266
1746001641.220165,0.999991,0.999889,2.095278
1746001641.270182,0.999991,0.999889,2.095278
1746001641.320218,1.000020,0.999904,2.095287
1746001641.370193,0.999981,0.999881,2.095307
1746001641.420231,1.000156,1.002105,2.088329
1746001641.470325,0.999336,1.006040,2.076053
1746001641.520184,0.999336,1.006040,2.076053
1746001641.570163,0.999336,1.006040,2.076053
1746001641.620117,0.991666,1.014024,2.071716
1746001641.670083,0.989041,1.018434,2.068964
1746001641.720450,0.985830,1.021060,2.069655
1746001641.770391,0.981996,1.024066,2.072458
1746001641.820158,0.981996,1.024066,2.072458
1746001641.870146,0.977397,1.032526,2.067415
1746001641.920218,0.974115,1.035939,2.067549
1746001641.970244,0.974115,1.035939,2.067549
1746001642.020211,0.971549,1.039411,2.065946
1746001642.070134,0.970832,1.043055,2.054761
1746001642.120347,0.964826,1.048936,2.049876
1746001642.170151,0.963969,1.053132,2.043314
1746001642.220112,0.963868,1.057687,2.030949
1746001642.270216,0.961871,1.061354,2.024419
1746001642.320079,0.961871,1.061354,2.024419
1746001642.370231,0.959348,1.068730,2.010554
1746001642.420212,0.959007,1.072712,2.002890
1746001642.470268,0.958106,1.076721,1.996936
1746001642.520185,0.958106,1.076721,1.996936
1746001642.570675,0.954975,1.086982,1.986335
1746001642.620252,0.954975,1.086982,1.986335
1746001642.670223,0.953541,1.091946,1.979644
1746001642.720267,0.950733,1.100116,1.966897
1746001642.770267,0.949625,1.104098,1.959178
1746001642.820236,0.948366,1.108170,1.952238
1746001642.870189,0.947293,1.112286,1.947058
1746001642.920144,0.946267,1.115777,1.945018
1746001642.970276,0.943821,1.119227,1.950561
1746001643.020253,0.943821,1.119227,1.950561
1746001643.070346,0.941151,1.127086,1.958139
1746001643.120181,0.938486,1.130184,1.968305
1746001643.170120,0.938486,1.130184,1.968305
1746001643.220372,0.938486,1.130184,1.968305
1746001643.270173,0.934707,1.138017,1.982508
1746001643.320184,0.929614,1.144848,1.998592
1746001643.370367,0.929223,1.148350,2.003271
1746001643.420198,0.928842,1.151810,2.002214
1746001643.470146,0.926685,1.155713,2.006987
1746001643.520149,0.925548,1.160801,2.009845
1746001643.570266,0.924476,1.165503,2.011186
1746001643.620169,0.923063,1.169925,2.013627
1746001643.670329,0.921856,1.174184,2.016601
1746001643.720211,0.921856,1.174184,2.016601
1746001643.770392,0.920904,1.178419,2.020488
1746001643.820118,0.920904,1.178419,2.020488
1746001643.870280,0.920904,1.178419,2.020488
1746001643.920187,0.915000,1.194397,2.041056
1746001643.970209,0.915000,1.194397,2.041056
1746001644.020182,0.912283,1.201504,2.049430
1746001644.070186,0.908607,1.203380,2.067090
1746001644.120252,0.905393,1.208011,2.080451
1746001644.170317,0.902432,1.212907,2.088707
1746001644.220208,0.899696,1.216733,2.094920
1746001644.270208,0.896488,1.219383,2.104868
1746001644.320267,0.892637,1.222110,2.111735
1746001644.370252,0.889084,1.225623,2.112400
1746001644.420170,0.889084,1.225623,2.112400
1746001644.470213,0.889084,1.225623,2.112400
1746001644.520087,0.881412,1.235234,2.103147
1746001644.570254,0.880460,1.238936,2.094878
1746001644.620253,0.878940,1.243380,2.082372
1746001644.670170,0.876940,1.246993,2.074518
1746001644.720335,0.876836,1.250584,2.063308
1746001644.770180,0.875058,1.254563,2.055071
1746001644.820413,0.873200,1.258357,2.048027
1746001644.870203,0.873139,1.262552,2.036396
1746001644.920174,0.871852,1.267199,2.026901
1746001644.970161,0.871852,1.267199,2.026901
1746001645.020176,0.871852,1.267199,2.026901
1746001645.070165,0.867832,1.273973,2.019922
1746001645.120205,0.867832,1.273973,2.019922
1746001645.170269,0.863002,1.285710,2.006700
1746001645.220364,0.860672,1.290499,2.003554
1746001645.270274,0.858372,1.295550,1.998337
1746001645.320140,0.856321,1.299803,1.991495
1746001645.370099,0.852991,1.302427,1.993457
1746001645.420351,0.850685,1.307097,1.996883
1746001645.470325,0.850685,1.307097,1.996883
1746001645.520287,0.844782,1.315529,2.007926
1746001645.570129,0.842744,1.319718,2.010940
1746001645.620219,0.840923,1.323972,2.011982
1746001645.670148,0.840923,1.323972,2.011982
1746001645.720121,0.840923,1.323972,2.011982
1746001645.770195,0.837060,1.332020,2.008882
1746001645.820132,0.835490,1.335651,2.003313
1746001645.870161,0.833171,1.343227,1.990462
1746001645.920151,0.832492,1.347012,1.980617
1746001645.970211,0.831657,1.351269,1.970744
1746001646.020090,0.830444,1.356000,1.963197
1746001646.070181,0.829391,1.360605,1.956537
1746001646.120156,0.827711,1.365018,1.951605
1746001646.170155,0.826305,1.368801,1.947205
1746001646.220186,0.825130,1.373345,1.941068
1746001646.270174,0.825130,1.373345,1.941068
1746001646.320158,0.825130,1.373345,1.941068
1746001646.370163,0.821297,1.386121,1.944327
1746001646.420138,0.820091,1.389302,1.947468
1746001646.470183,0.820091,1.389302,1.947468
1746001646.520094,0.815743,1.396405,1.954181
1746001646.570161,0.813423,1.400216,1.959082
1746001646.620298,0.812436,1.403720,1.956503
1746001646.670247,0.809406,1.406142,1.958481
