timestamp,x(m),y(m),theta(rad)
1746002310.149634,1.193347,2.018084,1.280963
1746002310.199681,1.193728,2.022215,1.287884
1746002310.249786,1.194221,2.026580,1.294813
1746002310.299638,1.194786,2.030745,1.301402
1746002310.349705,1.195412,2.035603,1.308577
1746002310.399643,1.196109,2.040114,1.314129
1746002310.449700,1.196109,2.040114,1.314129
1746002310.499717,1.196109,2.040114,1.314129
1746002310.549737,1.198077,2.055219,1.333329
1746002310.599698,1.199188,2.060051,1.338951
1746002310.649666,1.200056,2.064296,1.344920
1746002310.699808,1.200847,2.068513,1.351668
1746002310.749634,1.201788,2.072860,1.357961
1746002310.799690,1.203107,2.076925,1.362201
1746002310.849667,1.204461,2.081592,1.362354
1746002310.899853,1.206312,2.086470,1.358449
1746002310.949707,1.208716,2.089853,1.349235
1746002310.999699,1.208716,2.089853,1.349235
1746002311.049630,1.208716,2.089853,1.349235
1746002311.099696,1.208716,2.089853,1.349235
1746002311.149678,1.213130,2.105311,1.326154
1746002311.199610,1.213075,2.109162,1.332586
1746002311.249705,1.213075,2.109162,1.332586
1746002311.299608,1.215778,2.117399,1.346356
1746002311.349669,1.214904,2.121145,1.358087
1746002311.399653,1.214062,2.125874,1.373076
1746002311.449710,1.214348,2.130205,1.381977
1746002311.499677,1.214644,2.134560,1.389230
1746002311.549698,1.214682,2.139476,1.395863
1746002311.599706,1.214583,2.143252,1.402330
1746002311.649732,1.214935,2.147217,1.404845
1746002311.699776,1.215504,2.150629,1.408410
1746002311.749698,1.216348,2.155032,1.409054
1746002311.799722,1.216144,2.159147,1.412094
1746002311.849718,1.216269,2.163731,1.417948
1746002311.899766,1.218749,2.167721,1.415274
1746002311.949756,1.220582,2.171075,1.405883
1746002311.999874,1.219990,2.174738,1.403957
1746002312.049723,1.221187,2.178367,1.401347
1746002312.099819,1.223508,2.182051,1.396966
1746002312.149734,1.223508,2.182051,1.396966
1746002312.199637,1.226044,2.191248,1.395114
1746002312.249717,1.225737,2.195445,1.405557
1746002312.299841,1.228486,2.198156,1.405723
1746002312.349714,1.229861,2.202629,1.406791
1746002312.399710,1.228858,2.206131,1.418623
